All Second Basemen 3 Year Averages MLB Standard Categories
Avail,Player,AB,R,H,1B,2B,3B,HR,RBI,BB,K,SB,CS,AVG,OBP,SLG,FPTS,
W ,"Angel Martinez 2B,OF | CLE ",298,36,68,45,15,1,7,28,19,72,6,2,.228,.279,.356,124
W ,Nick Gonzales 2B | PIT,285,31,73,51,15,2,5,31,15,61,2,2,.256,.300,.375,119
W ,"Max Schuemann 2B,3B,SS | NYY",290,38,62,48,9,1,4,24,34,77,10,1,.214,.307,.293,119
W ,Ildemaro Vargas 2B | ARI ,216,22,55,41,10,1,3,27,13,22,3,2,.255,.300,.352,117
W ,"Brett Baty 2B,3B | NYM",300,36,70,50,9,1,10,33,26,86,3,0,.233,.298,.370,117
W ,DJ LeMahieu 2B | NYY,275,29,65,48,10,1,6,27,31,65,1,1,.236,.313,.345,116
W ,"Ezequiel Duran 1B,2B,SS | TEX",293,32,75,52,16,1,6,27,15,79,7,3,.256,.300,.379,116
W ,"Romy Gonzalez 1B,2B | BOS ",202,28,56,36,12,2,6,32,11,58,8,3,.277,.313,.446,115
W ,"Daniel Schneemann 2B,3B,OF | CLE ",286,32,60,36,14,2,8,32,32,94,6,2,.210,.292,.357,114
W ,David Hamilton 2B | MIL ,168,25,37,23,8,1,5,16,14,46,19,4,.220,.284,.369,113
W ,Brandon Drury 2B | KC ,270,30,61,38,12,1,10,33,17,72,0,1,.226,.279,.389,112
W ,"Brayan Rocchio 2B,SS | CLE",269,31,60,41,14,1,4,29,23,65,6,3,.223,.292,.327,108
W ,"Edouard Julien 1B,2B | COL",262,36,61,40,12,0,9,23,40,97,3,1,.233,.338,.382,104
W ,"Kody Clemens 1B,2B,OF | MIN ",200,26,44,24,9,2,9,28,14,54,2,0,.220,.277,.420,102
W ,Brendan Rodgers 2B | BOS ,265,33,67,46,14,1,6,28,18,73,0,0,.253,.307,.381,102
W ,"Javier Sanoja 2B,3B,OF | MIA",174,22,42,25,12,2,3,20,10,22,3,2,.241,.283,.385,101
W ,Cole Young 2B | SEA,223,24,47,35,7,1,4,24,28,47,1,0,.211,.302,.305,94
W ,"Casey Schmitt 1B,2B,3B | SF",224,24,51,32,11,0,8,29,15,58,1,0,.228,.286,.384,89
W ,Tyler Fitzgerald 2B | SF ,188,25,47,29,10,1,7,18,14,63,9,3,.250,.307,.425,88
W ,"Tim Tawa 1B,2B,OF | ARI",199,29,40,25,8,0,7,18,20,64,8,2,.201,.274,.347,87
W ,"Hye Seong Kim 2B,OF | LAD ",161,19,45,35,6,1,3,17,7,52,13,1,.280,.314,.385,86
W ,"Gabriel Arias 2B,SS | CLE",300,32,65,40,16,1,8,32,20,109,5,3,.217,.271,.357,79
W ,Luis Urias 2B | ATH ,175,19,37,25,7,0,5,20,20,40,1,0,.211,.315,.337,78
W ,Kristian Campbell 2B | BOS ,229,24,51,35,10,0,6,21,29,72,2,1,.223,.319,.345,76
W ,"Christian Koss 2B,SS | SF ",174,25,46,34,9,0,3,23,9,45,4,1,.264,.308,.368,76
W ,Cavan Biggio 2B | HOU ,159,27,35,24,6,0,5,20,21,53,2,1,.220,.328,.352,75
W ,Tony Kemp 2B | MIN ,123,14,25,18,4,1,2,9,15,14,5,1,.203,.298,.301,73
W ,Luisangel Acuna 2B | CHW,107,18,26,20,4,0,2,7,7,22,8,1,.243,.296,.336,66
W ,"Miles Mastrobuoni 2B,3B,OF | SEA ",128,18,30,25,4,0,1,7,12,26,7,1,.234,.298,.289,64
W ,"Nick Loftin 2B,OF | KC ",126,14,28,19,6,1,2,15,12,21,1,0,.222,.296,.333,63
W ,Christian Moore 2B | LAA ,162,20,32,19,5,1,7,16,19,62,3,0,.198,.284,.370,57
W ,Owen Miller 2B | CHC ,111,10,28,20,6,0,2,10,6,24,5,1,.252,.294,.360,53
W ,"Ryan Ritter 2B,SS | COL ",187,22,45,32,9,3,1,18,10,61,3,1,.241,.296,.337,53
W ,Cody Freeman 2B | TEX ,114,13,26,19,4,0,3,15,5,19,1,1,.228,.258,.342,51
W ,"Curtis Mead 1B,2B,3B | CHW",148,16,35,27,5,1,2,10,9,38,2,0,.236,.296,.324,49
W ,"Tim Anderson 2B,SS | LAA",270,25,63,54,8,1,0,12,12,73,6,2,.233,.270,.270,49
W ,Leonardo Rivas 2B | SEA,82,14,20,17,2,0,1,8,15,24,4,0,.244,.367,.305,47
W ,"Max Muncy 2B,3B | ATH ",206,17,44,28,7,0,9,23,10,68,1,1,.214,.259,.379,45
W ,"Thomas Saggese 2B,3B,SS | STL",162,15,40,29,9,0,2,14,9,48,2,0,.247,.289,.340,42
W ,Brett Wisely 2B | ATL,142,13,30,21,7,0,2,16,10,40,2,2,.211,.266,.303,41
W ,Ryan Fitzgerald 2B | LAD ,46,10,9,5,0,0,4,9,7,8,1,0,.196,.302,.457,40
W ,"Oswald Peraza 1B,2B,3B | LAA ",142,14,25,17,5,0,3,12,10,44,4,1,.176,.240,.275,36
W ,Joey Wendle 2B | ATL ,111,12,24,16,6,1,1,7,5,25,3,0,.216,.254,.315,36
W ,Leonardo Jimenez 2B | TOR,104,10,22,14,6,0,2,10,7,34,0,0,.211,.306,.327,31
W ,Ryan Bliss 2B | SEA,49,6,10,6,2,0,2,6,4,16,4,2,.204,.264,.367,28
W ,Nick Yorke 2B | PIT,53,6,12,8,2,0,2,6,4,14,2,0,.226,.281,.377,28
W ,Luis Guillorme 2B | HOU,96,9,20,14,5,1,0,6,11,24,1,1,.208,.287,.281,27
W ,Kolten Wong 2B | BAL ,75,8,14,11,2,0,1,9,6,18,1,1,.187,.262,.253,26
W ,Jose Fermin 2B | STL,61,5,13,11,2,0,0,6,7,10,1,1,.213,.304,.246,24
W ,Christian Arroyo 2B | NYM ,65,8,16,10,5,0,1,8,2,15,0,1,.246,.265,.369,24
W ,Rougned Odor 2B | SD ,46,7,9,5,3,0,1,6,6,12,1,0,.196,.302,.326,24
W ,"Kyren Paris 2B,OF | LAA ",72,9,11,7,2,0,2,6,7,31,4,0,.153,.237,.264,23
W ,Michael Stefanic 2B | ATH ,65,5,15,13,2,0,0,5,7,10,0,0,.231,.315,.262,23
W ,Harold Castro 2B | KC,86,8,22,18,4,0,0,10,3,22,0,0,.256,.278,.302,23
W ,Jorbit Vivas 2B | NYY,56,6,9,6,2,0,1,5,5,13,0,0,.161,.266,.250,20
W ,Brice Matthews 2B | HOU,42,6,7,3,0,0,4,9,2,20,1,0,.167,.222,.452,18
W ,"Alex Freeland 2B,3B | LAD",84,10,16,11,2,1,2,6,11,35,1,0,.191,.292,.309,18
W ,David Fletcher 2B | ATL ,32,2,8,7,0,0,1,5,2,3,0,0,.250,.294,.344,17
W ,Zach Remillard 2B | CHW ,60,6,15,12,3,0,0,6,4,19,2,1,.250,.297,.300,16
W ,Rodolfo Castro 2B | PHI ,76,7,16,12,2,0,2,8,8,25,0,1,.210,.302,.316,15
W ,Vaughn Grissom 2B | LAA ,60,5,14,12,2,0,0,5,3,13,1,0,.233,.277,.267,14
W ,Adael Amador 2B | COL ,74,3,13,9,4,0,0,5,6,16,1,0,.176,.237,.230,14
W ,Aaron Schunk 2B | ATL ,63,8,14,11,2,0,1,4,2,20,0,0,.222,.246,.302,13
W ,Alika Williams 2B | PIT ,63,7,13,9,3,1,0,4,4,19,0,0,.206,.265,.286,11
W ,Michael Chavis 2B | CIN ,30,5,7,5,1,0,1,2,2,11,0,0,.233,.281,.367,9
W ,Mark Mathias 2B | CIN ,21,2,5,4,1,0,0,2,3,5,1,0,.238,.333,.286,9
W ,Jamie Westbrook 2B | TB ,20,2,3,1,1,0,1,4,2,7,0,0,.150,.217,.350,8
W ,Tristan Gray 2B | MIN,37,3,8,5,2,0,1,3,3,12,0,0,.216,.275,.351,8
W ,Darren Baker 2B | CHW ,7,0,4,3,1,0,0,0,0,2,0,0,.571,.571,.714,3
W ,Livan Soto 2B | BAL ,7,1,2,2,0,0,0,0,2,2,0,0,.286,.444,.286,3
W ,Jack Winkler 2B | HOU ,16,2,4,2,2,0,0,0,0,4,1,0,.250,.250,.375,3
W ,Donovan Walton 2B | LAA ,15,2,2,2,0,0,0,2,1,4,0,0,.133,.188,.133,3
W ,Yonny Hernandez 2B | NYM ,7,2,1,1,0,0,0,1,1,3,0,0,.143,.250,.143,2
W ,Coco Montes 2B | TB,16,1,3,2,1,0,0,1,1,5,0,0,.188,.235,.250,2
W ,"Will Wilson 2B,3B | SEA ",78,7,15,11,4,0,0,2,7,34,2,0,.192,.267,.244,2
W ,Hayden Cantrelle 2B | CHC ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Leury Garcia 2B | ATL ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Tanner Nishioka 2B | BOS ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Andrew Ely 2B | NYM ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Jacob Berry 2B | MIA ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Jose Fernandez 2B | HOU ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,James Triantos 2B | CHC ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Ty Southisene 2B | CHC ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Trent Farquhar 2B | PHI ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Jordan McCants 2B | MIA ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,JJ Muno 2B | CHW,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Johan Macias 2B | LAA ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Cullen Large 2B | TOR ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Rafael P Valera 2B | MIN ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Nick Dunn 2B | SEA ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Logan Warmoth 2B | SEA ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Angel Rojas 2B | NYY ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Ahbram Liendo 2B | BOS ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Manny Jefferson 2B | ARI ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Luke Dykstra 2B | ATL ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Jordan Tarsovich 2B | ATH ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Richie Martin 2B | TEX ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Jaime Pedroza 2B | CHW ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Luke Hanson 2B | TEX ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Kyle DeBarge 2B | MIN ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Dameury Pena 2B | MIN ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Bryant Flete 2B | CIN ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Michael Arroyo 2B | SEA ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,L.J. Mazzilli 2B | NYY ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Ryan Burrowes 2B | CHW ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Julio Carreras 2B | COL ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Gerson Montilla 2B | CHW ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Tanner Morris 2B | TOR ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Dilson Herrera 2B | CIN ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Alsander Womack 2B | CHW ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Nelson Jorge 2B | PIT ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Angelo Gumbs 2B | CIN ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Connor Hollis 2B | SD ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Juan Benjamin 2B | CLE ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Peyton Wilson 2B | KC ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Heiker Meneses 2B | PHI ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Delvis Morales 2B | LAD ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Kevin Josephina 2B | ATL ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Daniel Brito 2B | PHI ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Christian Donahue 2B | CHC ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Drew Stankiewicz 2B | CLE ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Viandel Pena 2B | WAS ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Lorenzo Meola 2B | SF ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Reivaj Garcia 2B | CHC ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Jancarlos Cintron 2B | ARI ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Esteban Quiroz 2B | PHI ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Kevin Milam 2B | NYY ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Franklin Rollin 2B | TEX ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Emerson Landoni 2B | ATL ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Jack Lopez 2B | SEA ,34,2,8,6,2,0,0,3,1,12,0,0,.235,.257,.294,0
W ,Jason Leblebijian 2B | TOR ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
