All Catchers 3 Year Averages MLB Standard Categories
Avail,Player,AB,R,H,1B,2B,3B,HR,RBI,BB,K,SB,CS,AVG,OBP,SLG,FPTS,
W ,Korey Lee C | CHW ,159,17,31,20,6,0,5,14,9,50,2,1,.195,.238,.327,41
W ,Ben Rortvedt C | NYM,157,14,30,22,6,0,2,15,19,43,0,0,.191,.286,.268,41
W ,Luke Maile C | KC ,120,10,26,18,5,0,3,13,11,39,2,0,.217,.298,.333,40
W ,J.C. Escarra C | NYY,84,5,17,10,5,0,2,11,11,14,1,0,.202,.296,.333,39
W ,Tyler Heineman C | TOR,66,11,18,13,3,1,1,8,8,15,1,0,.273,.372,.394,38
W ,Eric Haase C | SF ,137,14,30,22,4,0,4,16,8,47,1,0,.219,.267,.336,37
W ,Jose Herrera C | TEX ,121,16,25,19,5,0,1,12,15,35,0,0,.207,.290,.273,37
W ,Rafael Marchan C | PHI,78,8,18,12,4,0,2,10,6,12,0,0,.231,.294,.359,37
W ,Samuel Basallo C | BAL ,109,10,18,8,6,0,4,15,6,30,0,0,.165,.229,.330,36
W ,Dalton Rushing C | LAD ,142,15,29,20,5,0,4,24,10,58,0,0,.204,.258,.324,36
W ,Blake Sabol C | TB ,119,14,28,20,4,0,4,15,10,44,1,1,.235,.303,.370,35
W ,Willie MacIver C | TEX ,102,7,19,11,5,0,3,9,7,27,3,0,.186,.252,.324,34
W ,Martin Maldonado C | SD,215,18,38,23,7,0,8,20,15,82,0,0,.177,.234,.321,33
W ,Austin Barnes C | NYM ,120,10,26,21,4,0,1,8,11,31,2,0,.217,.286,.275,32
W ,Austin Wynns C | ATH,84,9,21,13,6,0,2,11,5,25,0,0,.250,.297,.393,32
W ,Austin Hedges C | CLE,157,13,26,19,4,0,3,14,12,47,1,1,.166,.231,.248,27
W ,Braxton Fulford C | COL,108,11,23,15,5,2,1,16,7,36,1,0,.213,.267,.324,26
W ,Drew Millas C | WAS,45,5,12,8,3,0,1,5,4,9,2,0,.267,.327,.400,25
W ,Tom Murphy C | SF ,60,7,15,8,4,0,3,6,5,19,0,0,.250,.303,.467,25
W ,Carlos Perez C | HOU ,56,6,13,10,1,0,2,7,4,13,0,0,.232,.290,.357,23
W ,Jason Delay C | BOS ,61,7,15,10,5,0,0,8,6,15,0,0,.246,.324,.328,23
W ,Alex Jackson C | MIN,115,17,18,6,8,0,4,10,8,45,0,0,.157,.230,.330,23
W ,Francisco Mejia C | TB ,50,7,11,5,4,0,2,6,2,13,0,0,.220,.245,.420,19
W ,Mickey Gasper C | BOS,56,8,8,7,0,0,1,6,7,14,1,0,.143,.262,.196,19
W ,Rene Pinto C | PHI ,48,5,12,7,2,0,3,7,2,17,0,0,.250,.280,.479,18
W ,Curt Casali C | ATL ,63,7,12,10,2,0,0,5,8,15,0,0,.191,.292,.222,14
W ,Omar Narvaez C | HOU ,67,6,13,10,2,0,1,5,6,13,0,0,.194,.257,.269,14
W ,Brian Navarreto C | MIA ,14,3,4,1,2,0,1,5,0,3,0,0,.286,.267,.643,14
W ,Austin Nola C | COL,56,4,9,8,1,0,0,3,7,12,0,0,.161,.266,.179,13
W ,Kyle McCann C | COL ,70,6,16,12,2,0,2,8,8,30,0,0,.229,.308,.343,12
W ,Chad Wallach C | ATH ,52,6,10,6,2,0,2,5,4,19,0,0,.192,.250,.346,12
W ,Tucker Barnhart C | TEX,68,6,13,11,2,0,0,5,9,26,1,0,.191,.295,.221,11
W ,Seby Zavala C | LAD ,71,7,12,7,2,0,3,7,5,29,0,0,.169,.231,.324,10
W ,Hunter Feduccia C | TB,50,4,8,6,2,0,0,4,8,16,0,0,.160,.271,.200,10
W ,Sebastian Rivero C | LAA ,33,4,6,4,2,0,0,2,1,9,1,0,.182,.206,.242,7
W ,Sam Huff C | BAL ,33,3,7,4,1,0,2,3,2,15,0,0,.212,.257,.424,7
W ,Tomas Nido C | DET ,74,8,15,13,1,0,1,5,2,21,0,0,.203,.221,.257,7
W ,Ali Sanchez C | NYY ,54,4,10,8,2,0,0,2,2,15,1,0,.185,.214,.222,6
W ,Brett Sullivan C | COL ,34,3,7,5,1,0,1,3,2,9,0,0,.206,.243,.324,6
W ,Chadwick Tromp C | ATL ,30,2,6,3,3,0,0,3,1,10,0,0,.200,.226,.300,5
W ,Jhonny Pereda C | SEA,54,3,13,10,3,0,0,4,4,16,0,0,.241,.293,.296,5
W ,Logan Porter C | SF ,13,2,2,2,0,0,0,1,2,4,0,0,.154,.312,.154,4
W ,Cesar Salazar C | HOU,19,2,4,3,1,0,0,3,2,5,0,0,.210,.304,.263,4
W ,Hayden Senger C | NYM,72,8,13,12,1,0,0,4,3,22,0,0,.181,.221,.194,4
W ,Logan Driscoll C | TB ,18,1,3,3,0,0,0,2,0,3,0,0,.167,.167,.167,3
W ,Brian O'Keefe C | SEA ,6,0,1,0,1,0,0,1,1,2,0,0,.167,.286,.333,2
W ,Carlos Perez C | CHW ,16,2,3,2,1,0,0,1,1,4,0,0,.188,.235,.250,2
W ,Jorge Alfaro C | KC ,29,2,6,4,2,0,0,2,1,10,0,0,.207,.258,.276,2
W ,Drew Romo C | CHW ,27,2,4,2,2,0,0,3,1,10,0,0,.148,.179,.222,2
W ,Zack Collins C | CLE,1,0,1,1,0,0,0,0,1,1,0,0,1.000,1.000,1.000,1
W ,Harry Ford C | WAS,6,1,1,1,0,0,0,1,0,3,0,0,.167,.250,.167,1
W ,Anthony Bemboom C | DET ,4,0,1,1,0,0,0,0,1,1,0,0,.250,.400,.250,1
W ,Michael Perez C | BAL ,3,0,1,1,0,0,0,0,0,0,0,0,.333,.333,.333,1
W ,Maxwell Romero C | WAS ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Eliezer Alfonzo C | LAD ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Connor Pavolony C | BAL ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Adrian Sugastey C | SF ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Dan Rizzie C | NYM ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Martin Cervenka C | BAL ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Kyle Petty C | SEA ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Austin Rei C | BOS ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
