All Shortstops 3 Year Averages MLB Standard Categories
Avail,Player,AB,R,H,1B,2B,3B,HR,RBI,BB,K,SB,CS,AVG,OBP,SLG,FPTS,
W ,"Ryan Ritter 2B,SS | COL ",187,22,45,32,9,3,1,18,10,61,3,1,.241,.296,.337,53
W ,"Darell Hernaiz 3B,SS | ATH",146,12,32,26,4,0,2,14,14,26,2,2,.219,.281,.288,52
W ,"Vidal Brujan 3B,SS | NYM",137,20,30,21,7,1,1,10,12,32,3,3,.219,.291,.307,50
W ,"Tim Anderson 2B,SS | LAA",270,25,63,54,8,1,0,12,12,73,6,2,.233,.270,.270,49
W ,"Thomas Saggese 2B,3B,SS | STL",162,15,40,29,9,0,2,14,9,48,2,0,.247,.289,.340,42
W ,Zack Short SS | NYY ,114,12,22,14,5,0,3,15,15,36,2,1,.193,.292,.316,38
W ,Liover Peguero SS | PHI ,96,10,22,16,2,0,4,12,6,32,3,1,.229,.282,.375,37
W ,Nick Ahmed SS | TEX,139,12,30,23,5,1,1,11,8,35,3,1,.216,.257,.288,36
W ,Aledmys Diaz SS | HOU,116,9,25,17,7,0,1,8,6,25,0,0,.215,.264,.302,31
W ,Tucupita Marcano SS | SD,67,5,16,10,4,1,1,6,3,12,2,1,.239,.278,.373,31
W ,Alan Trejo SS | COL ,103,10,21,16,4,0,1,9,6,24,2,0,.204,.252,.272,30
W ,Luke Williams SS | ATL ,32,5,5,3,2,0,0,3,2,10,4,0,.156,.229,.219,18
W ,Yu Chang SS | TB ,35,4,6,3,1,0,2,6,1,11,1,0,.171,.216,.371,17
W ,Carson Williams SS | TB ,99,11,17,9,3,0,5,12,6,44,2,1,.172,.219,.353,15
W ,Andrew Velazquez SS | TEX ,27,4,5,3,1,0,1,1,3,10,4,1,.185,.267,.333,14
W ,Osleivis Basabe SS | SF ,29,5,6,4,2,0,0,4,2,8,0,0,.207,.258,.276,9
W ,Mason McCoy SS | SD,24,5,4,3,1,0,0,1,3,9,1,0,.167,.259,.208,8
W ,Kevin Smith SS | NYY ,45,5,8,5,1,0,2,4,2,17,0,0,.178,.213,.333,7
W ,Braden Shewmake SS | NYY ,23,1,3,2,1,0,0,1,0,4,2,0,.130,.125,.174,6
W ,Jeter Downs SS | NYY ,2,1,1,1,0,0,0,0,1,0,1,0,.500,.667,.500,6
W ,Jacob Amaya SS | ARI ,48,4,7,6,1,0,0,4,2,15,1,0,.146,.176,.167,4
W ,Marco Luciano SS | NYY ,38,5,8,5,3,0,0,1,4,15,0,0,.210,.286,.289,2
W ,Johan Camargo SS | SF,6,0,1,1,0,0,0,1,0,1,0,0,.167,.167,.167,1
W ,Branden Fryman SS | NYM ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Montrell Marshall SS | CIN ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Landy Pena SS | CLE ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Carson Matthews SS | LAA ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Rando Moreno SS | SF ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Eli Willits SS | WAS ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Anthony Phillips SS | COL ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,KC Serna SS | MIA ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Yeuris Ramirez SS | HOU ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Alex Mooney SS | CLE ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Jordan Gore SS | MIN ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Gus Steiger SS | CIN ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Tommy Sacco SS | HOU ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Arjun Nimmala SS | TOR ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Jeremy Ciriaco SS | COL ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Andres Mesa SS | TEX ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Jimmy Glowenke SS | SF ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Glynn Davis SS | BAL ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Jose Vinicio SS | ARI ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Core Jackson SS | NYY ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Alfredo Reyes SS | PIT ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Grayson Byrd SS | CHC ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Angel Contreras SS | CLE ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Raudy De Los Santos SS | DET ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Randal Diaz SS | WAS ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Calten Daal SS | MIN ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Nik McClaughry SS | SD ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Ryan Dobson SS | ARI ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Jack Pineda SS | KC ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Cameron Cauley SS | TEX ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Fernando Cruz SS | CHC ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Casey Martin SS | MIL ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
