All First Basemen 3 Year Averages MLB Standard Categories
Avail,Player,AB,R,H,1B,2B,3B,HR,RBI,BB,K,SB,CS,AVG,OBP,SLG,FPTS,
W ,Pavin Smith 1B | ARI ,191,29,45,26,11,0,8,31,31,56,1,1,.236,.339,.419,117
W ,"Ezequiel Duran 1B,2B,SS | TEX",293,32,75,52,16,1,6,27,15,79,7,3,.256,.300,.379,116
W ,"Romy Gonzalez 1B,2B | BOS ",202,28,56,36,12,2,6,32,11,58,8,3,.277,.313,.446,115
W ,Jonathan Aranda 1B | TB ,195,30,56,38,11,0,7,29,22,57,0,1,.287,.368,.451,111
W ,Anthony Rizzo 1B | NYY,237,28,56,40,9,0,7,25,21,54,0,1,.236,.316,.363,108
W ,"Edouard Julien 1B,2B | COL",262,36,61,40,12,0,9,23,40,97,3,1,.233,.338,.382,104
W ,Michael Toglia 1B | CIN ,282,34,56,31,11,1,13,32,31,110,5,1,.199,.279,.383,102
W ,"Kody Clemens 1B,2B,OF | MIN ",200,26,44,24,9,2,9,28,14,54,2,0,.220,.277,.420,102
W ,"Abraham Toro 1B,3B | KC ",205,24,50,35,10,0,5,21,12,36,2,1,.244,.296,.366,97
W ,Jose Abreu 1B | HOU,218,24,47,32,8,0,7,32,15,53,0,0,.216,.273,.349,91
W ,"Casey Schmitt 1B,2B,3B | SF",224,24,51,32,11,0,8,29,15,58,1,0,.228,.286,.384,89
W ,"Tim Tawa 1B,2B,OF | ARI",199,29,40,25,8,0,7,18,20,64,8,2,.201,.274,.347,87
W ,"Andruw Monasterio 1B,SS | BOS ",178,24,44,32,9,0,3,20,17,46,5,2,.247,.318,.348,84
W ,J.D. Davis 1B | LAA,210,25,50,34,9,0,7,25,21,65,0,0,.238,.314,.381,83
W ,"Otto Kemp 1B,3B | PHI",197,26,46,27,11,0,8,28,12,67,2,2,.234,.298,.411,77
W ,"C.J. Kayfus 1B,OF | CLE ",123,16,27,12,10,1,4,19,11,38,4,0,.220,.292,.415,69
W ,Christian Encarnacion-Strand 1B | CIN ,156,18,36,23,6,0,7,24,7,45,1,1,.231,.275,.404,68
W ,Ryan Noda 1B | BAL ,183,25,37,22,9,0,6,20,34,77,1,0,.202,.338,.350,67
W ,Garrett Cooper 1B | ATL ,176,16,43,28,8,1,6,24,13,56,0,0,.244,.298,.403,67
W ,Enmanuel Valdez 1B | PIT ,144,16,33,19,8,1,5,20,12,35,2,1,.229,.287,.403,66
W ,Warming Bernabel 1B | WAS ,139,15,35,22,8,1,4,14,7,25,1,1,.252,.288,.410,64
W ,Patrick Wisdom 1B | SEA ,142,20,27,11,5,1,10,23,13,57,3,1,.190,.266,.451,61
