Free Agent Catchers  Season   Projections Standard Categories
Avail,Player,AB,R,H,1B,2B,3B,HR,RBI,BB,K,SB,CS,AVG,OBP,SLG,FPTS,
W ,Austin Wynns C | ATH,229,29,62,37,14,0,11,36,17,62,1,0,.271,.328,.476,135
W ,Reese McGuire C | MIL ,261,29,59,41,8,0,10,40,18,66,2,0,.226,.277,.372,126
W ,Tyler Heineman C | TOR,193,26,51,33,10,1,7,29,17,44,2,0,.264,.332,.435,122
W ,Austin Hedges C | CLE,247,27,51,31,11,0,9,26,26,73,3,1,.206,.287,.360,106
W ,Jesus Rodriguez C | SF ,187,24,47,30,9,1,7,27,17,49,1,0,.251,.322,.422,104
W ,Daniel Susac C | SF ,187,24,47,30,9,1,7,27,17,49,1,0,.251,.322,.422,104
W ,Mickey Gasper C | BOS,190,24,43,29,8,0,6,24,17,47,2,1,.226,.297,.363,95
W ,Harry Ford C | WAS,192,22,48,32,9,1,6,25,14,49,1,0,.250,.309,.401,95
W ,Brandon Valenzuela C | TOR ,161,21,40,26,8,0,6,24,15,37,1,0,.248,.318,.410,94
W ,Drew Millas C | WAS,160,19,42,28,9,1,4,20,12,38,3,1,.263,.320,.406,88
W ,Jeferson Quero C | MIL ,161,21,40,26,8,0,6,23,14,41,1,0,.248,.315,.410,88
W ,Mitch Garver C | SEA ,184,20,39,24,8,0,7,25,21,55,1,0,.212,.303,.370,86
W ,Cesar Salazar C | HOU,155,18,39,27,7,0,5,21,15,36,1,0,.252,.310,.394,85
W ,Dominic Keegan C | TB ,158,19,40,27,8,0,5,22,14,39,1,0,.253,.320,.399,84
W ,Joe Mack C | MIA ,161,19,40,26,8,0,6,22,14,42,1,0,.248,.315,.410,84
W ,Alex Jackson C | MIN,189,25,41,23,11,0,7,21,15,57,1,0,.217,.287,.386,84
W ,Jimmy Crooks C | STL ,191,21,44,29,8,1,6,22,14,53,1,0,.230,.292,.377,82
W ,Jose Herrera C | TEX ,184,23,40,28,7,0,5,22,20,50,1,0,.217,.297,.337,82
W ,Jhonny Pereda C | SEA,158,18,39,26,8,0,5,20,16,41,1,0,.247,.326,.392,81
W ,Brett Sullivan C | COL ,154,19,38,25,7,0,6,22,13,44,1,0,.247,.311,.409,80
