Free Agent Second Basemen  Season   Projections Standard Categories
Avail,Player,AB,R,H,1B,2B,3B,HR,RBI,BB,K,SB,CS,AVG,OBP,SLG,FPTS,
W ,"Angel Martinez 2B,OF | CLE ",390,52,93,57,22,2,12,42,27,98,8,2,.238,.293,.397,205
W ,"Willi Castro 2B,3B,OF | COL",366,58,94,61,18,5,10,38,33,108,9,5,.257,.332,.415,204
W ,Sung-Mun Song 2B | SD ,319,43,88,60,18,1,9,39,25,64,8,3,.276,.334,.423,203
W ,Kristian Campbell 2B | BOS ,407,46,105,72,21,1,11,43,34,107,7,4,.258,.324,.396,201
W ,Zack Gelof 2B | ATH ,425,60,98,63,18,2,15,48,31,157,18,5,.231,.285,.388,199
W ,"Max Muncy 2B,3B | ATH ",394,45,99,61,20,1,17,51,26,115,4,1,.251,.309,.436,198
W ,"Josh Rojas 2B,3B | KC ",400,42,95,63,22,2,8,34,36,86,9,3,.237,.302,.362,197
W ,Michael Massey 2B | KC ,395,43,101,71,17,1,12,42,20,76,3,1,.256,.293,.395,196
W ,Nick Yorke 2B | PIT,322,43,84,58,15,1,10,38,27,74,9,2,.261,.321,.407,193
W ,Cavan Biggio 2B | HOU ,359,48,87,60,15,1,11,36,43,103,6,1,.242,.338,.382,188
W ,"Miles Mastrobuoni 2B,3B,OF | SEA ",314,41,79,56,13,1,9,38,33,72,8,4,.252,.326,.385,184
W ,Vaughn Grissom 2B | LAA ,382,47,88,61,17,1,9,40,30,99,9,2,.230,.294,.351,183
W ,Leonardo Rivas 2B | SEA,314,44,76,53,14,1,8,33,33,74,10,3,.242,.320,.369,183
W ,"Gabriel Arias 2B,SS | CLE",381,45,93,57,22,2,12,52,28,129,9,3,.244,.304,.407,181
W ,Cody Freeman 2B | TEX ,298,38,76,51,15,1,9,39,27,64,7,3,.255,.320,.403,181
W ,"Santiago Espinal 2B,3B,OF | LAD ",332,36,87,70,12,0,5,32,27,48,6,1,.262,.319,.343,180
W ,"Ramon Urias 2B,3B | STL ",380,40,91,62,18,1,10,48,33,94,3,1,.239,.302,.371,180
W ,"Thomas Saggese 2B,3B,SS | STL",392,42,106,76,24,1,5,42,28,103,7,1,.270,.321,.375,178
W ,"Adam Frazier 2B,OF | LAA ",391,45,93,66,16,1,10,41,25,101,7,4,.238,.297,.361,177
W ,Tristan Gray 2B | MIN,317,38,77,49,17,1,10,34,25,71,6,2,.243,.305,.398,172
W ,"Daniel Schneemann 2B,3B,OF | CLE ",309,40,73,44,17,1,11,37,30,85,8,3,.236,.305,.405,171
W ,"Curtis Mead 1B,2B,3B | CHW",314,38,81,54,17,1,9,37,26,79,5,1,.258,.327,.405,170
W ,"Davis Schneider 2B,OF | TOR",250,39,63,39,11,1,12,37,30,68,6,2,.252,.336,.448,169
