Free Agent First Basemen  Season   Projections Standard Categories
Avail,Player,AB,R,H,1B,2B,3B,HR,RBI,BB,K,SB,CS,AVG,OBP,SLG,FPTS,
W ,"Troy Johnston 1B,OF | COL",372,48,99,66,16,3,14,48,30,107,9,5,.266,.328,.438,209
W ,Ryan Mountcastle 1B | BAL ,430,52,114,74,27,1,12,58,23,123,4,0,.265,.304,.416,205
W ,"C.J. Kayfus 1B,OF | CLE ",307,43,77,43,18,3,13,43,32,85,10,2,.251,.320,.456,205
W ,Michael Toglia 1B | CIN ,374,49,83,45,16,2,20,55,50,135,7,1,.222,.315,.436,204
W ,"Jake Bauers 1B,OF | MIL",307,47,71,43,13,1,14,50,36,97,12,1,.231,.318,.417,203
W ,Blaine Crim 1B | COL ,309,45,81,48,17,1,15,49,32,87,2,1,.262,.333,.469,194
W ,Coby Mayo 1B | BAL ,376,48,89,55,16,1,17,47,37,115,4,0,.237,.313,.420,193
W ,"Eric Wagaman 1B,OF | MIN",384,46,93,58,23,1,11,45,30,91,3,1,.242,.299,.393,192
W ,Tyler Black 1B | MIL,316,42,81,52,17,1,11,45,33,80,5,1,.256,.332,.421,191
W ,Triston Casas 1B | BOS ,330,39,82,52,16,0,14,51,36,90,1,0,.248,.330,.424,184
W ,"Andruw Monasterio 1B,SS | BOS ",324,42,84,54,19,2,9,37,24,84,9,4,.259,.316,.414,180
W ,"Otto Kemp 1B,3B | PHI",322,43,80,51,17,1,11,45,26,90,5,4,.248,.316,.410,175
W ,"Curtis Mead 1B,2B,3B | CHW",314,38,81,54,17,1,9,37,26,79,5,1,.258,.327,.405,170
W ,"Kyle Farmer 1B,2B | ATL ",333,35,79,48,23,0,8,42,25,72,2,1,.237,.302,.378,168
W ,"Victor Caratini C,1B | MIN",311,34,77,50,14,1,12,38,26,70,1,0,.248,.317,.415,168
W ,Tyler Locklear 1B | ARI ,274,37,69,45,12,1,11,37,30,73,4,1,.252,.332,.423,162
W ,"Romy Gonzalez 1B,2B | BOS ",261,35,74,49,15,1,9,39,21,70,4,3,.283,.340,.452,156
W ,"LaMonte Wade 1B,OF | CHW ",363,40,80,53,19,1,7,37,46,98,2,1,.220,.312,.336,156
W ,Ty France 1B | SD ,259,31,74,52,17,0,5,34,15,46,1,0,.286,.342,.409,151
W ,"Oswald Peraza 1B,2B,3B | LAA ",385,38,81,55,15,1,10,37,27,121,12,2,.210,.269,.333,148
W ,"Edouard Julien 1B,2B | COL",370,44,87,59,17,0,11,39,39,127,3,3,.235,.312,.370,141
W ,"Ezequiel Duran 1B,2B,SS | TEX",325,32,81,57,20,0,4,30,19,85,8,4,.249,.302,.348,135
W ,Justin Foscue 1B | TEX ,247,32,58,36,12,1,9,33,26,65,2,0,.235,.313,.401,134
W ,Leandro Cedeno 1B | ARI ,188,26,52,33,11,1,7,29,18,42,2,0,.277,.348,.457,126
W ,Tristin English 1B | ATL ,193,23,49,30,11,1,7,27,19,47,2,0,.254,.326,.430,113
W ,Nick Sogard 1B | BOS ,190,25,49,31,12,0,6,26,17,47,2,1,.258,.333,.416,110
W ,Rafael Flores 1B | PIT,186,23,48,30,10,1,7,25,21,48,2,0,.258,.338,.435,110
W ,"Enrique Hernandez 1B,2B,3B,OF | LAD ",188,28,46,29,9,1,7,28,16,50,3,0,.245,.301,.415,110
W ,Abimelec Ortiz 1B | WAS,190,24,49,31,10,1,7,27,16,46,1,0,.258,.324,.432,109
W ,Charlie Condon 1B | COL ,184,24,49,31,10,1,7,27,17,48,1,0,.266,.337,.446,108
W ,Sam Kulasingam 1B | KC ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Felix Stevens 1B | CHC ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Bobby Dalbec 1B | CHW,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Branden Boissiere 1B | WAS ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Troy Sieber 1B | HOU ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Kacy Clemens 1B | TOR ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Yohandy Morales 1B | WAS ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,TT Bowens 1B | BAL ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Brandon Pimentel 1B | WAS ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Gabe Snyder 1B | MIN ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Bligh Madris 1B | STL ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Garrett Pennington 1B | DET ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Rixon Taylor-Wingrove 1B | PHI ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Cam Collier 1B | CIN ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Robert Hipwell 1B | SF ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Darick Hall 1B | PIT ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Austin Shenton 1B | SEA ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Nellie Rodriguez 1B | CLE ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Jeremy Vasquez 1B | NYM ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Jeff Malm 1B | TB ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Brett Squires 1B | KC ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Jantzen Witte 1B | SD ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Garrett Cooper 1B | ATL ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Nicholas Vizcaino 1B | ATL ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,R.J. Yeager 1B | STL ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Patrick Wisdom 1B | SEA ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Manuel Pena 1B | ARI ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Keoni Cavaco 1B | MIN ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Japhet Amador 1B | HOU ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
