Free Agent Third Basemen  Season   Projections Standard Categories
Avail,Player,AB,R,H,1B,2B,3B,HR,RBI,BB,K,SB,CS,AVG,OBP,SLG,FPTS,
W ,Brett Harris 3B | ATH ,379,54,93,60,20,1,12,44,37,95,6,3,.245,.319,.398,213
W ,"Abraham Toro 1B,3B | KC ",380,44,98,68,19,1,10,41,25,66,4,1,.258,.312,.392,210
W ,"Edmundo Sosa 2B,3B,SS | PHI",391,48,97,62,18,4,13,51,22,99,7,2,.248,.297,.414,209
W ,Ben Williamson 3B | TB ,406,53,109,78,23,1,7,44,28,92,7,2,.269,.317,.382,209
W ,Graham Pauley 3B | MIA ,375,46,92,57,21,2,12,40,41,94,6,1,.245,.323,.408,206
W ,"Miguel Rojas 2B,3B,SS | LAD",322,42,87,60,18,1,8,36,30,58,8,1,.270,.334,.407,206
W ,"Willi Castro 2B,3B,OF | COL",366,58,94,61,18,5,10,38,33,108,9,5,.257,.332,.415,204
W ,Jace Jung 3B | DET,395,60,93,63,18,2,10,45,44,109,4,1,.235,.318,.367,201
W ,Andy Ibanez 3B | ATH ,327,44,87,57,17,1,12,46,24,81,7,3,.266,.326,.434,199
W ,"Max Muncy 2B,3B | ATH ",394,45,99,61,20,1,17,51,26,115,4,1,.251,.309,.436,198
W ,"Josh Rojas 2B,3B | KC ",400,42,95,63,22,2,8,34,36,86,9,3,.237,.302,.362,197
W ,Jonah Bride 3B | TEX ,366,44,89,60,14,1,14,48,38,91,2,0,.243,.317,.402,197
W ,Will Wagner 3B | SD ,333,45,90,59,22,1,8,39,31,76,4,1,.270,.338,.414,192
W ,"Miles Mastrobuoni 2B,3B,OF | SEA ",314,41,79,56,13,1,9,38,33,72,8,4,.252,.326,.385,184
W ,"Ramon Urias 2B,3B | STL ",380,40,91,62,18,1,10,48,33,94,3,1,.239,.302,.371,180
W ,"Santiago Espinal 2B,3B,OF | LAD ",332,36,87,70,12,0,5,32,27,48,6,1,.262,.319,.343,180
W ,"Thomas Saggese 2B,3B,SS | STL",392,42,106,76,24,1,5,42,28,103,7,1,.270,.321,.375,178
W ,Ronny Mauricio 3B | NYM,319,43,77,51,13,1,12,37,31,87,7,1,.241,.313,.401,175
W ,"Otto Kemp 1B,3B | PHI",322,43,80,51,17,1,11,45,26,90,5,4,.248,.316,.410,175
W ,Vimael Machin 3B | COL ,312,40,78,51,15,2,10,39,26,78,5,1,.250,.314,.407,172
W ,"Daniel Schneemann 2B,3B,OF | CLE ",309,40,73,44,17,1,11,37,30,85,8,3,.236,.305,.405,171
W ,"Curtis Mead 1B,2B,3B | CHW",314,38,81,54,17,1,9,37,26,79,5,1,.258,.327,.405,170
W ,Blaze Alexander 3B | BAL,374,49,87,55,18,1,13,45,33,126,5,4,.233,.310,.390,168
W ,Jose Tena 3B | WAS,322,39,83,54,21,3,5,38,26,82,7,2,.258,.315,.388,167
W ,"Javier Sanoja 2B,3B,OF | MIA",260,35,68,40,18,3,7,34,20,54,6,3,.262,.315,.435,165
W ,Jeimer Candelario 3B | LAA ,389,38,82,46,17,2,17,50,29,122,4,2,.211,.270,.396,163
W ,Nacho Alvarez Jr. 3B | ATL ,327,36,85,56,20,1,8,34,25,77,3,1,.260,.319,.401,162
W ,Gio Urshela 3B | MIN ,381,28,92,61,23,2,6,46,25,79,1,0,.241,.287,.360,161
W ,"Nolan Gorman 2B,3B | STL ",379,49,83,48,17,2,16,50,47,147,3,1,.219,.305,.401,160
W ,"Amed Rosario 2B,3B | NYY",265,33,71,47,13,2,9,39,14,64,6,2,.268,.310,.434,156
W ,"Oswald Peraza 1B,2B,3B | LAA ",385,38,81,55,15,1,10,37,27,121,12,2,.210,.269,.333,148
W ,Oswaldo Cabrera 3B | NYY ,252,36,64,42,12,1,9,33,25,66,3,1,.254,.326,.417,144
W ,Kevin Newman 3B | KC ,259,28,65,46,13,1,5,27,12,48,4,1,.251,.285,.367,126
W ,"Orlando Arcia 2B,3B,SS | MIN ",320,29,70,46,14,1,9,27,23,71,1,0,.219,.270,.353,125
W ,Nicky Lopez 3B | COL ,188,25,53,37,8,5,3,17,20,38,3,2,.282,.358,.425,114
W ,"Enrique Hernandez 1B,2B,3B,OF | LAD ",188,28,46,29,9,1,7,28,16,50,3,0,.245,.301,.415,110
W ,"Alex Freeland 2B,3B | LAD",192,26,49,32,9,2,6,24,19,49,3,1,.255,.327,.417,110
W ,Bryan Ramos 3B | BAL,191,25,45,27,10,1,7,26,16,52,3,1,.236,.299,.408,103
W ,Maximo Acosta 3B | MIA ,178,23,45,29,8,1,7,23,16,45,3,1,.253,.320,.427,103
W ,"Vidal Brujan 3B,SS | NYM",187,26,46,31,11,1,3,18,20,42,3,2,.246,.324,.364,99
W ,Tim Torres 3B | CHC,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Riley Tirotta 3B | TOR ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Eudy Ramos 3B | ARI ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Marcos Cabrera 3B | NYY ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,John Aiello 3B | TOR ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Seaver Whalen 3B | TB ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Daniel Arribas 3B | PIT ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Jackson Glenn 3B | PIT ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Sabin Ceballos 3B | SF ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Jorgelys Mota 3B | WAS ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Ti'Quan Forbes 3B | CHW ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Carson Rucker 3B | DET ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Deivid Coronil 3B | SD ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Jorge Vazquez 3B | NYY ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,David Thompson 3B | NYM ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Anthony Rodriguez 3B | SF,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Joe Rizzo 3B | MIA ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Carl Wise 3B | TOR ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Starlin Aguilar 3B | SEA,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Mike Moustakas 3B | CHW ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Brandon Howlett 3B | BOS ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Marcos Almonte 3B | HOU ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Trey Lipscomb 3B | WAS ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Michael Snyder 3B | MIA ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Kyle Datres 3B | COL ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Austin Callahan 3B | CIN ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
