All Third Basemen 2025  Season MLB Standard Categories
Avail,Player,AB,R,H,1B,2B,3B,HR,RBI,BB,K,SB,CS,AVG,OBP,SLG,FPTS,
W ,Ben Williamson 3B | TB ,277,36,70,56,13,0,1,21,15,64,5,1,.253,.293,.310,103
W ,Andy Ibanez 3B | ATH ,176,24,42,30,8,0,4,21,12,26,4,1,.239,.300,.352,102
W ,"Amed Rosario 2B,3B | NYY",181,20,50,33,11,0,6,23,7,31,1,0,.276,.309,.436,91
W ,"Curtis Mead 1B,2B,3B | CHW",240,26,56,42,10,1,3,19,15,63,5,1,.233,.299,.321,90
W ,"Enrique Hernandez 1B,2B,3B,OF | LAD ",232,30,47,29,8,0,10,35,18,68,0,0,.203,.255,.366,88
W ,"Max Schuemann 2B,3B,SS | NYY",183,20,36,28,4,2,2,13,22,35,7,1,.197,.295,.273,86
W ,Blaze Alexander 3B | BAL,230,31,53,33,12,1,7,28,22,86,4,6,.230,.323,.383,85
W ,"Miles Mastrobuoni 2B,3B,OF | SEA ",152,20,38,33,4,0,1,12,17,29,6,3,.250,.324,.296,78
W ,"Otto Kemp 1B,3B | PHI",197,26,46,27,11,0,8,28,12,67,2,2,.234,.298,.411,77
W ,Graham Pauley 3B | MIA ,161,18,36,22,9,1,4,11,21,36,2,0,.224,.311,.366,75
W ,"Darell Hernaiz 3B,SS | ATH",173,17,40,32,5,1,2,16,17,24,3,4,.231,.292,.306,74
W ,"Thomas Saggese 2B,3B,SS | STL",275,25,71,53,16,0,2,25,16,83,3,0,.258,.299,.338,72
W ,Brady House 3B | WAS,261,26,61,46,11,0,4,29,8,78,5,3,.234,.252,.322,67
W ,Jose Tena 3B | WAS,152,19,37,22,13,2,0,16,15,37,3,1,.243,.314,.355,64
W ,Paul DeJong 3B | NYY ,193,18,44,28,10,0,6,23,11,70,4,0,.228,.269,.373,61
W ,Nacho Alvarez Jr. 3B | ATL ,188,18,44,30,12,0,2,15,12,49,0,0,.234,.296,.330,57
W ,Gio Urshela 3B | MIN ,181,10,43,28,14,1,0,20,13,40,0,1,.238,.287,.326,55
W ,Ronny Mauricio 3B | NYM,168,19,38,26,6,0,6,10,15,54,4,0,.226,.293,.369,55
W ,"Oswald Peraza 1B,2B,3B | LAA ",244,24,40,29,6,0,5,20,17,80,9,0,.164,.224,.250,53
W ,Will Wagner 3B | SD ,129,15,29,22,7,0,0,7,17,28,1,0,.225,.324,.279,48
W ,Jon Berti 3B | CHC,100,12,21,19,2,0,0,2,5,22,11,3,.210,.262,.230,46
W ,"Max Muncy 2B,3B | ATH ",206,17,44,28,7,0,9,23,10,68,1,1,.214,.259,.379,45
W ,"Josh Rojas 2B,3B | KC ",189,14,34,23,9,0,2,11,19,48,4,1,.180,.252,.259,44
W ,Marcelo Mayer 3B | BOS ,127,20,29,16,8,1,4,10,8,41,0,2,.228,.272,.402,42
W ,Kyle Karros 3B | COL ,137,20,31,26,4,0,1,9,15,41,0,0,.226,.308,.277,39
W ,Oswaldo Cabrera 3B | NYY ,107,17,26,21,4,0,1,11,11,25,0,1,.243,.322,.308,38
W ,Emmanuel Rivera 3B | BAL ,120,5,30,26,4,0,0,13,6,24,1,0,.250,.291,.283,34
W ,"Vidal Brujan 3B,SS | NYM",87,14,22,17,5,0,0,8,6,21,2,1,.253,.305,.310,34
