All Second Basemen 2025  Season MLB Standard Categories
Avail,Player,AB,R,H,1B,2B,3B,HR,RBI,BB,K,SB,CS,AVG,OBP,SLG,FPTS,
W ,David Hamilton 2B | MIL ,177,27,35,24,4,1,6,19,13,47,22,6,.198,.257,.333,118
W ,"Santiago Espinal 2B,3B,OF | LAD ",301,25,73,61,12,0,0,16,21,38,2,1,.242,.292,.282,109
W ,Luisangel Acuna 2B | CHW,175,30,41,34,7,0,0,8,13,37,16,1,.234,.293,.274,107
W ,"Dylan Moore 1B,2B,3B,OF | PHI ",219,35,44,28,5,0,11,25,20,82,14,5,.201,.268,.374,106
W ,"Kyle Farmer 1B,2B | ATL ",277,24,63,41,14,0,8,31,17,66,0,1,.227,.280,.365,102
W ,Cole Young 2B | SEA,223,24,47,35,7,1,4,24,28,47,1,0,.211,.302,.305,94
W ,"Amed Rosario 2B,3B | NYY",181,20,50,33,11,0,6,23,7,31,1,0,.276,.309,.436,91
W ,Michael Massey 2B | KC ,262,20,64,52,9,0,3,20,9,43,2,1,.244,.268,.313,90
W ,"Curtis Mead 1B,2B,3B | CHW",240,26,56,42,10,1,3,19,15,63,5,1,.233,.299,.321,90
W ,"Enrique Hernandez 1B,2B,3B,OF | LAD ",232,30,47,29,8,0,10,35,18,68,0,0,.203,.255,.366,88
W ,"Tim Tawa 1B,2B,OF | ARI",199,29,40,25,8,0,7,18,20,64,8,2,.201,.274,.347,87
W ,"Nick Loftin 2B,OF | KC ",168,17,35,20,9,2,4,20,14,27,1,1,.208,.278,.357,87
W ,"Max Schuemann 2B,3B,SS | NYY",183,20,36,28,4,2,2,13,22,35,7,1,.197,.295,.273,86
W ,"Hye Seong Kim 2B,OF | LAD ",161,19,45,35,6,1,3,17,7,52,13,1,.280,.314,.385,86
W ,"Miles Mastrobuoni 2B,3B,OF | SEA ",152,20,38,33,4,0,1,12,17,29,6,3,.250,.324,.296,78
W ,Kristian Campbell 2B | BOS ,229,24,51,35,10,0,6,21,29,72,2,1,.223,.319,.345,76
W ,"Christian Koss 2B,SS | SF ",174,25,46,34,9,0,3,23,9,45,4,1,.264,.308,.368,76
W ,"Ezequiel Duran 1B,2B,SS | TEX",205,16,46,32,14,0,0,14,8,55,11,2,.224,.266,.293,72
W ,"Thomas Saggese 2B,3B,SS | STL",275,25,71,53,16,0,2,25,16,83,3,0,.258,.299,.338,72
W ,Leonardo Rivas 2B | SEA,90,19,22,18,2,0,2,9,20,24,6,0,.244,.387,.333,71
W ,Tyler Fitzgerald 2B | SF ,217,19,47,32,10,1,4,14,17,70,9,4,.217,.279,.327,68
W ,Thairo Estrada 2B | BAL ,154,14,39,27,9,0,3,21,6,26,1,3,.253,.285,.370,66
W ,Ildemaro Vargas 2B | ARI ,115,12,31,25,2,1,3,19,2,15,0,0,.270,.292,.383,62
W ,Christian Moore 2B | LAA ,162,20,32,19,5,1,7,16,19,62,3,0,.198,.284,.370,57
W ,"Oswald Peraza 1B,2B,3B | LAA ",244,24,40,29,6,0,5,20,17,80,9,0,.164,.224,.250,53
W ,"Kyren Paris 2B,OF | LAA ",126,20,24,13,4,1,6,11,10,59,7,1,.191,.266,.381,53
W ,"Ryan Ritter 2B,SS | COL ",187,22,45,32,9,3,1,18,10,61,3,1,.241,.296,.337,53
W ,Cody Freeman 2B | TEX ,114,13,26,19,4,0,3,15,5,19,1,1,.228,.258,.342,51
W ,DJ LeMahieu 2B | NYY,128,13,34,29,3,0,2,12,14,35,0,0,.266,.338,.336,47
W ,"Max Muncy 2B,3B | ATH ",206,17,44,28,7,0,9,23,10,68,1,1,.214,.259,.379,45
W ,"Josh Rojas 2B,3B | KC ",189,14,34,23,9,0,2,11,19,48,4,1,.180,.252,.259,44
W ,Jose Fermin 2B | STL,60,5,17,11,5,0,1,9,8,10,2,2,.283,.377,.417,42
W ,Ryan Fitzgerald 2B | LAD ,46,10,9,5,0,0,4,9,7,8,1,0,.196,.302,.457,40
W ,"Edouard Julien 1B,2B | COL",182,13,40,27,10,0,3,12,22,61,0,3,.220,.309,.324,36
W ,"Orlando Arcia 2B,3B,SS | MIN ",203,13,41,30,7,1,3,13,10,47,0,1,.202,.238,.291,33
W ,Tristan Gray 2B | MIN,78,9,18,10,5,0,3,9,6,19,0,0,.231,.282,.410,31
W ,Nick Yorke 2B | PIT,69,7,16,12,3,0,1,8,3,15,1,0,.232,.264,.319,28
W ,Adael Amador 2B | COL ,113,5,20,12,7,0,1,10,11,27,1,1,.177,.256,.266,26
W ,Brett Wisely 2B | ATL,54,5,10,5,4,0,1,10,7,14,1,1,.185,.279,.315,23
W ,Jorbit Vivas 2B | NYY,56,6,9,6,2,0,1,5,5,13,0,0,.161,.266,.250,20
W ,Brice Matthews 2B | HOU,42,6,7,3,0,0,4,9,2,20,1,0,.167,.222,.452,18
W ,"Alex Freeland 2B,3B | LAD",84,10,16,11,2,1,2,6,11,35,1,0,.191,.292,.309,18
W ,Brendan Rodgers 2B | BOS ,115,12,22,16,4,0,2,11,11,46,0,1,.191,.266,.278,14
W ,Ryan Bliss 2B | SEA,35,1,7,5,1,0,1,3,4,11,2,2,.200,.282,.314,12
W ,Owen Miller 2B | CHC ,14,0,2,2,0,0,0,1,2,4,1,0,.143,.294,.143,5
W ,Michael Stefanic 2B | ATH ,22,1,4,4,0,0,0,0,3,3,0,0,.182,.280,.182,5
W ,Zack Gelof 2B | ATH ,92,12,16,11,3,0,2,7,7,46,1,2,.174,.230,.272,4
W ,Jack Winkler 2B | HOU ,16,2,4,2,2,0,0,0,0,4,1,0,.250,.250,.375,3
W ,"Tim Anderson 2B,SS | LAA",83,8,17,14,3,0,0,3,3,29,1,1,.205,.258,.241,2
W ,"Will Wilson 2B,3B | SEA ",78,7,15,11,4,0,0,2,7,34,2,0,.192,.267,.244,2
W ,Connor Kaiser 2B | KC ,18,1,2,1,1,0,0,2,1,5,0,0,.111,.158,.167,2
W ,Leonardo Jimenez 2B | TOR,29,2,2,1,0,0,1,1,2,8,0,0,.069,.129,.172,2
W ,Donovan Walton 2B | LAA ,8,1,1,1,0,0,0,1,0,1,0,0,.125,.125,.125,2
W ,Brock Hebert 2B | SEA ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Michael Arroyo 2B | SEA ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Dixon Williams 2B | ATL ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Ty Washington 2B | MIA ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Ashton McGee 2B | MIL ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Chandler Redmond 2B | STL ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Maxx Tissenbaum 2B | COL ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Reed Gragnani 2B | BOS ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Corey Wimberly 2B | MIN ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Chandler Pollard 2B | TEX ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Bryant Flete 2B | CIN ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Ian Lewis 2B | MIA ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Diosbel Arias 2B | TEX ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Ruben Sosa 2B | KC,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Patrick Dorrian 2B | MIL ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Pascanel Ferreras 2B | HOU ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Amado Nunez 2B | CHW ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Delvis Morales 2B | LAD ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Jose Gomez 2B | LAA ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Yordany De Los Santos 2B | PIT ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Nate Mondou 2B | CHW ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,DJ Layton 2B | BAL ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Peyton Stovall 2B | CIN ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Ronald Bueno 2B | CIN ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Hoy Jun Park 2B | ATH ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Blake Barber 2B | MIA ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Patrick Frick 2B | SEA ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Juan Perez 2B | CHW ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Deivis Nadal 2B | KC ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
