All Catchers 2025  Season MLB Standard Categories
Avail,Player,AB,R,H,1B,2B,3B,HR,RBI,BB,K,SB,CS,AVG,OBP,SLG,FPTS,
W ,J.C. Escarra C | NYY,84,5,17,10,5,0,2,11,11,14,1,0,.202,.296,.333,39
W ,Dalton Rushing C | LAD ,142,15,29,20,5,0,4,24,10,58,0,0,.204,.258,.324,36
W ,Samuel Basallo C | BAL ,109,10,18,8,6,0,4,15,6,30,0,0,.165,.229,.330,36
W ,Alex Jackson C | MIN,91,17,20,7,8,0,5,8,5,37,0,0,.220,.290,.472,36
W ,Willie MacIver C | TEX ,102,7,19,11,5,0,3,9,7,27,3,0,.186,.252,.324,34
W ,Connor Wong C | BOS,168,16,32,24,8,0,0,7,16,42,2,1,.191,.262,.238,33
W ,Andrew Knizner C | SEA,77,12,17,14,1,1,1,5,7,10,0,0,.221,.299,.299,33
W ,Drew Millas C | WAS,49,6,15,9,5,1,0,7,4,7,2,0,.306,.358,.449,30
W ,Ben Rortvedt C | NYM,112,9,17,13,3,0,1,10,11,23,0,0,.152,.240,.205,30
W ,Braxton Fulford C | COL,108,11,23,15,5,2,1,16,7,36,1,0,.213,.267,.324,26
W ,Korey Lee C | CHW ,35,10,9,5,3,0,1,3,4,7,0,0,.257,.333,.429,23
W ,Luke Maile C | KC ,45,6,11,8,2,0,1,6,7,16,1,0,.244,.346,.356,22
W ,Hunter Feduccia C | TB,88,5,13,8,5,0,0,8,15,29,1,0,.148,.267,.204,20
W ,Eric Haase C | SF ,70,11,16,11,3,0,2,9,4,31,0,0,.229,.289,.357,18
W ,Martin Maldonado C | SD,147,11,30,20,6,0,4,12,8,57,0,0,.204,.245,.327,18
W ,Brian Navarreto C | MIA ,14,3,4,1,2,0,1,5,0,3,0,0,.286,.267,.643,14
W ,Jhonny Pereda C | SEA,69,4,17,11,6,0,0,4,8,21,0,0,.246,.325,.333,8
W ,Austin Nola C | COL,38,2,7,6,1,0,0,1,2,5,0,0,.184,.225,.210,8
W ,Jorge Alfaro C | KC ,39,3,10,8,2,0,0,3,0,14,1,0,.256,.256,.308,7
W ,Sebastian Rivero C | LAA ,33,4,6,4,2,0,0,2,1,9,1,0,.182,.206,.242,7
W ,Tomas Nido C | DET ,35,4,12,12,0,0,0,2,0,10,0,0,.343,.361,.343,7
W ,Sam Huff C | BAL ,53,5,11,8,1,0,2,4,4,25,0,0,.207,.259,.340,6
W ,Omar Narvaez C | HOU ,7,1,2,2,0,0,0,3,2,1,0,0,.286,.400,.286,5
W ,Austin Barnes C | NYM ,42,4,9,6,3,0,0,2,1,14,0,0,.214,.233,.286,5
W ,Sandy Leon C | ATL ,12,1,1,0,0,0,1,3,0,4,0,0,.083,.083,.333,4
W ,Hayden Senger C | NYM,72,8,13,12,1,0,0,4,3,22,0,0,.181,.221,.194,4
W ,Logan Porter C | SF ,7,2,1,1,0,0,0,1,1,2,0,0,.143,.333,.143,4
W ,Rob Brantly C | MIA,7,0,3,3,0,0,0,1,0,1,0,0,.429,.429,.429,3
W ,Chadwick Tromp C | ATL ,21,2,3,1,1,0,1,1,1,6,0,0,.143,.182,.333,3
W ,Brett Sullivan C | COL ,6,1,1,1,0,0,0,2,1,3,0,0,.167,.333,.167,3
W ,Ali Sanchez C | NYY ,23,2,5,3,2,0,0,0,0,6,0,0,.217,.217,.304,3
W ,Cesar Salazar C | HOU,13,0,3,3,0,0,0,1,2,2,0,0,.231,.375,.231,1
W ,Harry Ford C | WAS,6,1,1,1,0,0,0,1,0,3,0,0,.167,.250,.167,1
W ,Chuckie Robinson C | LAD ,1,1,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,1
W ,Tucker Barnhart C | TEX,13,0,3,3,0,0,0,0,1,4,0,0,.231,.333,.231,1
W ,Jason Lopez C | NYY ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Chris Hoo C | MIA ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Jose Mujica C | ATH ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Ty Duvall C | SEA ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Pablo Aliendo C | CHC ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Tres Barrera C | WAS ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Hayden Dunhurst C | KC ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Andriel Lantigua C | NYM ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Jairo Rosario C | COL ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Jason Delay C | BOS ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Chris Betts C | TB ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Martin Cervenka C | BAL ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Jose Alvarez C | STL ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Donny Sands C | DET ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Jason Hagerty C | SD ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Scott Manea C | HOU ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Miguel Jerez C | CLE ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Alex Dunlap C | WAS ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Roldani Baldwin C | BOS ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Poncho Ruiz C | MIN ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Kyle Hayes C | KC ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Arturo De Freitas C | PHI ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Cam Gallagher C | PHI ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Josh Morgan C | SEA ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Ernesto Liberatore C | CIN ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Brendan Durfee C | SD ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Keduar Trujillo C | HOU ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Wilfredo Rodriguez C | CHW ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Drake Osborn C | ARI ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Jeff Arnold C | SF ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Brooks Brannon C | BOS ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Hendrik Clementina C | ATL ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Morgan Lofstrom C | CIN ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,J.J. D'Orazio C | ARI ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Cam Maron C | MIA ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Dom Nunez C | CLE ,7,2,2,2,0,0,0,0,0,4,0,0,.286,.286,.286,0
W ,Cael Brockmeyer C | BAL ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Dennis Ortega C | MIN ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Jake DePew C | BOS ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Colton Plaia C | NYM ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Steve Rodriguez C | ATL ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Ricardo Genoves C | TB ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Eliezer Zambrano C | SF ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Brandon Valenzuela C | TOR ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Joey Morgan C | DET ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Zach Jackson C | STL ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Addison Kopack C | SD ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,John Garcia C | HOU ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Matthew Wood C | MIL ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Juan Uriarte C | NYM ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Andres Angulo C | SF ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Caleb Ricketts C | PHI ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Cooper Ingle C | CLE ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Blake Anderson C | MIA ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Bennett Lee C | DET ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Ike Irish C | BAL ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Julio Rodriguez C | DET ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Brady Lindsly C | WAS ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
