All First Basemen 2025  Season MLB Standard Categories
Avail,Player,AB,R,H,1B,2B,3B,HR,RBI,BB,K,SB,CS,AVG,OBP,SLG,FPTS,
W ,"Curtis Mead 1B,2B,3B | CHW",240,26,56,42,10,1,3,19,15,63,5,1,.233,.299,.321,90
W ,"Enrique Hernandez 1B,2B,3B,OF | LAD ",232,30,47,29,8,0,10,35,18,68,0,0,.203,.255,.366,88
W ,"Tim Tawa 1B,2B,OF | ARI",199,29,40,25,8,0,7,18,20,64,8,2,.201,.274,.347,87
W ,"Otto Kemp 1B,3B | PHI",197,26,46,27,11,0,8,28,12,67,2,2,.234,.298,.411,77
W ,"Ezequiel Duran 1B,2B,SS | TEX",205,16,46,32,14,0,0,14,8,55,11,2,.224,.266,.293,72
W ,"Andruw Monasterio 1B,SS | BOS ",126,19,34,21,9,0,4,16,7,32,2,1,.270,.319,.436,70
W ,Justin Turner 1B | CHC,169,14,37,27,7,0,3,18,17,37,2,0,.219,.288,.314,70
W ,"C.J. Kayfus 1B,OF | CLE ",123,16,27,12,10,1,4,19,11,38,4,0,.220,.292,.415,69
W ,"Luke Raley 1B,OF | SEA",183,23,37,25,8,0,4,19,19,64,2,1,.202,.319,.311,66
W ,Warming Bernabel 1B | WAS ,139,15,35,22,8,1,4,14,7,25,1,1,.252,.288,.410,64
W ,Michael Toglia 1B | CIN ,306,22,58,31,15,1,11,32,28,132,3,0,.190,.258,.353,62
W ,Donovan Solano 1B | TEX,166,10,41,33,4,1,3,21,8,40,0,0,.247,.290,.337,58
W ,"Troy Johnston 1B,OF | COL",112,12,31,24,2,1,4,13,8,26,2,2,.277,.331,.420,57
W ,"LaMonte Wade 1B,OF | CHW ",209,19,35,23,8,2,2,18,27,58,1,0,.168,.271,.254,57
W ,"Oswald Peraza 1B,2B,3B | LAA ",244,24,40,29,6,0,5,20,17,80,9,0,.164,.224,.250,53
W ,Enmanuel Valdez 1B | PIT ,91,7,19,11,4,2,2,12,11,16,0,0,.209,.294,.363,45
W ,Christian Encarnacion-Strand 1B | CIN ,130,13,27,17,4,0,6,19,3,32,0,2,.208,.234,.377,44
W ,Nick Sogard 1B | BOS ,96,13,25,17,8,0,0,9,5,24,2,1,.260,.317,.344,42
W ,Matt Mervis 1B | WAS ,120,15,21,10,4,0,7,14,11,50,0,0,.175,.254,.383,36
W ,"Edouard Julien 1B,2B | COL",182,13,40,27,10,0,3,12,22,61,0,3,.220,.309,.324,36
W ,Sal Stewart 1B | CIN,55,11,14,8,1,0,5,8,3,15,0,0,.255,.293,.545,35
W ,Blaine Crim 1B | COL ,65,10,13,6,2,0,5,12,6,28,0,0,.200,.270,.462,31
W ,Triston Casas 1B | BOS ,99,5,18,12,3,0,3,11,11,27,0,0,.182,.277,.303,28
W ,Tyler Locklear 1B | ARI ,103,11,18,15,0,0,3,6,10,43,3,1,.175,.267,.262,20
W ,Tim Elko 1B | CHW ,67,6,9,4,1,0,4,8,5,30,1,0,.134,.194,.328,14
W ,Andres Chaparro 1B | WAS ,66,4,12,9,2,0,1,5,5,22,0,0,.182,.247,.258,10
W ,Bobby Seymour 1B | TB,78,9,16,13,1,1,1,5,4,32,1,0,.205,.253,.282,10
W ,David Villar 1B | SF,20,4,4,3,1,0,0,1,4,5,0,0,.200,.360,.250,10
W ,Tyler Black 1B | MIL,8,1,2,1,1,0,0,1,5,1,0,1,.250,.538,.375,6
W ,Bobby Dalbec 1B | CHW,18,2,4,3,1,0,0,1,3,6,0,0,.222,.333,.278,5
W ,Matt Gorski 1B | LAD ,41,2,8,5,0,1,2,4,1,16,0,1,.195,.214,.390,4
W ,Endy Rodriguez 1B | PIT,52,5,9,5,4,0,0,2,5,14,0,1,.173,.246,.250,2
