Austin Bats
Pos,Player,Salary,Elig,Total Fpts,Active Fpts,
RP,Emmanuel Clase RP | CLE ,3,RP,420.0,334.0
2B,"Tommy Edman 2B,OF | LAD ",7,"2B,DH,OF",404.0,380.0
OF,Max Kepler OF | PHI ,1,"DH,OF",223.0,44.0
RES,Yuli Gurriel DH | SD,3,"1B,DH",281.0,29.0
RES,Logan Gilbert SP | SEA,1,SP,469.0,279.0
RES,"Adam Frazier 2B,OF | LAA ",1,"2B,DH",262.0,5.0
RES,Tommy Pham OF | PIT,3,"DH,OF",262.0,134.0
RES,Nelson Cruz DH | ,1,DH,211.0,12.0
RES,Mitch Garver C | SEA,1,"C,DH",95.0,0.0
RES,Myles Straw OF | TOR,1,"DH,OF",276.0,35.0
Moneyball Dos
Pos,Player,Salary,Elig,Total Fpts,Active Fpts,
3B,Josh Donaldson 3B | ,5,"3B,DH",194.0,6.0
DH,Bo Bichette SS | NYM,48,"DH,SS",363.0,361.0
RES,Xander Bogaerts SS | SD,30,"DH,SS",362.0,352.0
SP,Max Scherzer SP | TOR ,57,SP,480.0,398.0
2B,Whit Merrifield 2B | ATL,32,"2B,DH,OF",305.0,298.0
RES,Justin Turner 1B | CHC,14,"3B,DH",309.0,294.0
1B,J.T. Realmuto C | PHI ,24,"1B,C,DH",378.0,326.0
SP,Eduardo Rodriguez SP | ARI,9,SP,180.0,21.0
OF,Ketel Marte 2B | ARI,16,"2B,DH,OF",278.0,278.0
OF,Randy Arozarena OF | SEA ,16,"DH,OF",397.0,396.0
OF,Teoscar Hernandez OF | LAD,14,"DH,OF",284.0,12.0
RES,Tyler Stephenson C | CIN,2,"1B,C,DH",110.0,19.0
RP,Aroldis Chapman RP | BOS,6,RP,116.0,61.0
RES,Adalberto Mondesi SS | BOS,2,"3B,DH",12.0,0.0
RES,Josh Bell 1B | MIN,8,"1B,DH",347.0,21.0
RES,Marcus Stroman SP | NYY,4,SP,309.0,-7.0
RES,Carson Kelly C | CHC,2,"C,DH",149.0,0.0
RP,Justin Steele SP | CHC ,1,"RP,SP",258.0,209.0
RES,Mike Yastrzemski OF | ATL,1,"DH,OF",253.0,221.0
RES,Jeremy Pena SS | HOU ,1,"DH,SS",243.0,42.0
RES,"Isiah Kiner-Falefa 3B,SS | BOS ",1,"DH,SS",270.0,0.0
RES,Anthony Santander OF | TOR ,1,"DH,OF",366.0,33.0
RES,Kole Calhoun 1B | CLE,1,"DH,OF",117.0,0.0
Cardinal and Gold
Pos,Player,Salary,Elig,Total Fpts,Active Fpts,
3B,Jose Ramirez 3B | CLE ,58,"3B,DH",551.0,536.0
OF,Starling Marte DH | KC,40,"DH,OF",342.0,342.0
SS,Francisco Lindor SS | NYM ,26,"DH,SS",448.0,439.0
1B,Vladimir Guerrero Jr. 1B | TOR,60,"1B,DH",442.0,432.0
OF,Kyle Schwarber DH | PHI,12,"DH,OF",402.0,368.0
DH,Rhys Hoskins 1B | CLE ,9,"1B,DH",322.0,162.0
C,Willson Contreras 1B | BOS,7,"C,DH",282.0,275.0
SP,Cal Quantrill SP | TEX,13,"RP,SP",423.0,208.0
RES,Brandon Nimmo OF | TEX,3,"DH,OF",395.0,257.0
SP,Jose Urquidy RP | PIT ,6,SP,370.0,288.0
SP,Tyler Mahle SP | SF ,11,SP,257.0,148.0
OF,Jared Walsh 1B | CHW,6,"1B,DH,OF",131.0,11.0
RP,Jake McGee RP | ,3,RP,26.0,5.0
RP,Scott Barlow RP | ATH ,3,RP,318.0,294.0
SP,Lance McCullers SP | HOU,6,SP,139.0,88.0
RES,Lourdes Gurriel OF | ARI ,1,"DH,OF",238.0,-1.0
RES,Anthony DeSclafani RP | ARI,2,SP,1.0,7.0
RES,Andrew Vaughn 1B | MIL,1,"1B,DH,OF",291.0,0.0
RES,Matt Chapman 3B | SF ,2,"3B,DH",294.0,0.0
RES,Adolis Garcia OF | PHI,1,"DH,OF",387.0,236.0
RES,"Amed Rosario 2B,3B | NYY",2,"DH,OF,SS",354.0,31.0
RES,Nick Pivetta SP | SD,1,SP,329.0,22.0
RES,Edward Cabrera SP | CHC ,1,SP,183.0,58.0
RES,Jon Gray RP | TEX ,1,SP,292.0,64.0
RES,Matt Brash RP | SEA ,1,SP,91.0,0.0
RES,Reid Detmers RP | LAA ,1,SP,275.0,71.0
The Mike Uhlenkamp Experience
Pos,Player,Salary,Elig,Total Fpts,Active Fpts,
OF,Ronald Acuna Jr. OF | ATL ,45,"DH,OF",319.0,251.0
OF,Mike Trout OF | LAA,56,"DH,OF",363.0,334.0
3B,Alex Bregman 3B | CHC,25,"3B,DH",443.0,437.0
OF,Jesse Winker DH | NYM,17,"DH,OF",238.0,39.0
